Date,Entry Time,Signal,Regime,Exit Reason,PnL,Entry,Exit,Ticker
2025-12-03,2025-12-03 10:15:00+05:30,SHORT,BEARISH,EOD Square Off,10.5,7194.5,7184.0,APOLLOHOSP
2025-12-08,2025-12-08 10:15:00+05:30,SHORT,BEARISH,EOD Square Off,61.5,7161.5,7100.0,APOLLOHOSP
2025-12-10,2025-12-10 10:45:00+05:30,SHORT,BEARISH,EOD Square Off,32.0,7059.0,7027.0,APOLLOHOSP
2025-12-15,2025-12-15 10:00:00+05:30,SHORT,BEARISH,Hard SL,-27.25,7021.0,7048.25,APOLLOHOSP
2025-12-16,2025-12-16 13:00:00+05:30,SHORT,BEARISH,EOD Square Off,32.0,7083.5,7051.5,APOLLOHOSP
2025-12-17,2025-12-17 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,109.0,7030.5,6921.5,APOLLOHOSP
2025-12-26,2025-12-26 13:30:00+05:30,SHORT,BEARISH,EOD Square Off,-6.0,7150.0,7156.0,APOLLOHOSP
2025-12-29,2025-12-29 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,51.5,7133.5,7082.0,APOLLOHOSP
2025-12-30,2025-12-30 11:30:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),12.0,7002.0,6990.0,APOLLOHOSP
2026-01-01,2026-01-01 09:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-17.5,7030.0,7047.5,APOLLOHOSP
2026-01-19,2026-01-19 10:00:00+05:30,SHORT,BEARISH,Hard SL,-52.75,7171.5,7224.25,APOLLOHOSP
2026-01-20,2026-01-20 09:45:00+05:30,SHORT,BEARISH,EOD Square Off,113.0,7025.5,6912.5,APOLLOHOSP
2026-01-21,2026-01-21 10:15:00+05:30,SHORT,BEARISH,EOD Square Off,-21.0,6818.5,6839.5,APOLLOHOSP
2026-01-22,2026-01-22 11:00:00+05:30,SHORT,BEARISH,EOD Square Off,25.0,6825.0,6800.0,APOLLOHOSP
2026-01-29,2026-01-29 10:15:00+05:30,SHORT,BEARISH,Hard SL,-45.5,6776.0,6821.5,APOLLOHOSP
2026-02-05,2026-02-05 09:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-17.0,7065.0,7082.0,APOLLOHOSP
2026-02-06,2026-02-06 10:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-26.5,7040.0,7066.5,APOLLOHOSP
2026-02-09,2026-02-09 10:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-3.0,7173.5,7176.5,APOLLOHOSP
